date,open,close,high,low,volume,chg_amt
2002-07-24,3436.47,3425.82,3454.58,3414.08,8964280.0,-0.0023762514633165754
2002-07-25,3434.49,3406.54,3451.02,3396.67,6541310.0,-0.0056278496827037615
2002-07-26,3405.92,3398.78,3428.88,3392.45,6617560.0,-0.002277971196580625
2002-07-29,3395.5,3427.95,3428.92,3389.87,5992830.0,0.008582491364548342
2002-07-30,3428.56,3431.46,3437.66,3411.38,5029740.0,0.0010239355883254477
2002-07-31,3433.16,3405.7,3448.14,3400.76,7767310.0,-0.007507008678521742
2002-08-01,3398.93,3416.68,3427.0,3377.85,6172040.0,0.003224006812109117
2002-08-02,3419.57,3420.58,3426.87,3410.75,4398930.0,0.0011414589601601822
2002-08-05,3422.54,3401.46,3422.54,3397.93,4397140.0,-0.005589695314829617
2002-08-06,3395.87,3436.11,3460.48,3390.35,7955080.0,0.010186802137905512
2002-08-07,3440.34,3428.08,3440.34,3420.81,3995070.0,-0.002336944975568361
2002-08-08,3428.71,3407.69,3443.42,3401.55,4249080.0,-0.005947935870808112
2002-08-09,3405.08,3385.09,3405.08,3372.96,6742540.0,-0.0066320586673083255
2002-08-12,3375.28,3360.75,3377.15,3358.57,5479250.0,-0.007190355352442666
2002-08-13,3357.89,3367.4,3380.11,3357.79,4106520.0,0.0019787249869821
2002-08-14,3368.15,3393.59,3393.6,3362.26,3730060.0,0.007777513808873331
2002-08-15,3394.84,3377.36,3394.84,3371.62,4110970.0,-0.004782545917450257
2002-08-16,3374.08,3389.33,3403.75,3349.29,6903120.0,0.003544188360139221
2002-08-19,3385.78,3393.99,3402.48,3375.93,5600850.0,0.0013749030044285608
2002-08-20,3392.8,3451.11,3454.29,3391.42,11365790.0,0.016829749056420422
2002-08-21,3453.81,3448.52,3462.0,3441.3,8554660.0,-0.0007504831778761457
2002-08-22,3449.04,3480.54,3499.68,3449.04,11415290.0,0.009285142611903071
2002-08-23,3484.76,3476.67,3489.56,3470.38,7643850.0,-0.0011118964298643
2002-08-26,3478.12,3448.37,3480.97,3443.42,7017640.0,-0.008139973020160148
2002-08-27,3448.35,3456.97,3463.26,3444.16,7041350.0,0.002493931915658676
2002-08-28,3459.32,3454.27,3469.52,3448.93,6807680.0,-0.0007810307870764914
2002-08-29,3455.07,3437.61,3471.22,3435.79,7603250.0,-0.004823016151024632
2002-08-30,3436.46,3436.84,3445.22,3431.85,4551910.0,-0.0002239928322293634
2002-09-02,3438.18,3443.9,3448.86,3431.34,4276370.0,0.002054212590635568
2002-09-03,3445.73,3452.72,3462.55,3445.73,3966350.0,0.00256104997241491
2002-09-04,3455.79,3437.86,3465.07,3433.9,5857020.0,-0.004303853194003475
2002-09-05,3433.36,3390.95,3434.83,3380.29,8711790.0,-0.01364511643871487
2002-09-06,3386.64,3374.31,3399.44,3370.91,5742870.0,-0.004907179404001792
2002-09-09,3365.94,3345.22,3366.33,3336.33,5407330.0,-0.008621021779267508
2002-09-10,3344.77,3350.09,3359.32,3334.15,4160700.0,0.001455808586580358
2002-09-11,3349.49,3337.22,3352.41,3306.87,4684000.0,-0.00384168783525229
2002-09-12,3337.52,3344.59,3355.25,3321.49,4825680.0,0.002208424976477531
2002-09-13,3345.43,3339.9,3346.93,3336.57,4090760.0,-0.0014022645526058663
2002-09-16,3339.7,3276.57,3339.7,3269.32,6280850.0,-0.018961645558250226
2002-09-17,3277.36,3280.54,3303.06,3248.64,6271660.0,0.0012116328965960743
2002-09-18,3278.75,3258.31,3278.75,3254.72,3635570.0,-0.006776323410170282
2002-09-19,3255.5,3326.97,3336.46,3242.79,7683870.0,0.02107227366334077
2002-09-20,3326.84,3287.15,3326.84,3282.34,4476370.0,-0.01196884853184721
2002-09-23,3277.13,3292.88,3296.55,3276.31,3244170.0,0.0017431513621222086
2002-09-24,3294.03,3277.05,3295.59,3275.2,3824640.0,-0.004807341901314328
2002-09-25,3276.04,3286.08,3301.34,3270.1,4313600.0,0.002755527074655481
2002-09-26,3287.45,3265.64,3296.96,3261.36,4973410.0,-0.006220177232447189
2002-09-27,3267.24,3243.93,3271.44,3236.22,5285220.0,-0.006648007741208472
2002-10-08,3227.46,3197.94,3227.46,3183.15,3913510.0,-0.014177247967742763
2002-10-09,3194.38,3141.26,3196.44,3137.71,5102560.0,-0.017723909766912398
2002-10-10,3138.75,3115.62,3152.48,3112.69,4029300.0,-0.008162329765762888
2002-10-11,3116.12,3107.04,3131.24,3101.27,4637080.0,-0.002753866004198178
2002-10-14,3109.01,3118.35,3125.11,3076.4,4969810.0,0.00364012050054069
2002-10-15,3116.76,3114.86,3132.51,3109.67,4519370.0,-0.0011191816184840642
2002-10-16,3115.52,3138.53,3159.77,3115.52,5269890.0,0.007599057421521375
2002-10-17,3139.83,3072.65,3139.83,3069.64,7225080.0,-0.02099071858481522
2002-10-18,3071.79,3088.17,3098.6,3049.96,6006660.0,0.005051014596520912
2002-10-21,3086.14,3088.94,3093.12,3062.49,4002370.0,0.00024933860506383453
2002-10-22,3089.37,3126.86,3134.78,3087.33,6903390.0,0.012276055863823859
2002-10-23,3123.37,3123.79,3126.15,3105.05,4785080.0,-0.0009818156233410398
2002-10-24,3124.04,3093.74,3124.04,3090.2,4305140.0,-0.009619724757426134
2002-10-25,3092.19,3062.99,3105.49,3056.6,4404350.0,-0.00993942606683173
2002-10-28,3059.34,3009.19,3059.34,3004.2,4786390.0,-0.017564536612917354
2002-10-29,3005.77,3037.3,3041.64,2989.78,4445040.0,0.009341384226320082
2002-10-30,3037.09,3037.94,3048.2,3007.58,5537930.0,0.00021071346261478045
2002-10-31,3037.94,3036.18,3064.96,3028.73,4770680.0,-0.000579339947464472
2002-11-01,3035.84,3050.56,3051.58,3020.21,6277700.0,0.0047362145854330465
2002-11-04,3064.77,3107.24,3107.89,3061.71,9815440.0,0.01858019511171714
2002-11-05,3112.4,3161.54,3176.92,3107.98,18637800.0,0.017475315714267383
2002-11-06,3161.74,3143.19,3161.74,3137.76,9440870.0,-0.005804133428645505
2002-11-07,3143.7,3148.12,3157.38,3131.07,7885620.0,0.0015684702483781878
2002-11-08,3182.15,3075.18,3189.14,3067.07,12472700.0,-0.023169383632136026
2002-11-11,3076.69,3036.7,3089.56,3030.87,6118390.0,-0.012513088664728576
2002-11-12,3038.33,2997.21,3061.03,2984.68,9406990.0,-0.013004248032403527
2002-11-13,2993.39,3015.37,3015.87,2953.33,7485770.0,0.006058968173734858
2002-11-14,3015.32,2971.27,3015.81,2969.23,9223510.0,-0.014625070886823147
2002-11-15,2968.08,2983.54,3019.37,2955.56,9154200.0,0.00412954729795676
2002-11-18,2983.56,2938.09,2991.1,2932.17,5677950.0,-0.015233581584292425
2002-11-19,2928.77,2952.31,2958.83,2902.63,6838350.0,0.0048398789689899895
2002-11-20,2947.0,2904.2,2947.0,2898.57,7338220.0,-0.016295714203454287
2002-11-21,2899.48,2836.14,2899.89,2831.37,8932040.0,-0.0234350251360099
2002-11-22,2836.11,2833.5,2870.07,2790.54,7697000.0,-0.0009308426241299348
2002-11-25,2829.49,2840.49,2849.08,2808.02,4434830.0,0.0024669137109581017
2002-11-26,2837.66,2788.78,2860.34,2786.94,5321910.0,-0.018204605543409615
2002-11-27,2777.95,2810.55,2816.39,2757.71,6384700.0,0.007806280882679873
2002-11-28,2810.34,2876.89,2877.14,2797.31,8387200.0,0.023603920940741024
2002-11-29,2882.2,2920.72,2951.6,2865.76,15397700.0,0.015235201902053932
2002-12-02,2919.09,2837.99,2919.09,2835.95,5675740.0,-0.028325207483086368
2002-12-03,2836.88,2861.35,2861.45,2823.79,4253810.0,0.008231177699710051
2002-12-04,2864.42,2870.32,2897.01,2846.71,6074970.0,0.0031348838834816626
2002-12-05,2865.92,2850.23,2865.92,2832.5,4692810.0,-0.006999219599208501
2002-12-06,2849.99,2854.58,2874.4,2837.78,5513200.0,0.0015261926230514412
2002-12-09,2851.78,2847.52,2866.79,2836.28,5574200.0,-0.0024732184769738264
2002-12-10,2851.95,2818.3,2864.89,2816.41,6675810.0,-0.010261560937236543
2002-12-11,2814.8,2796.8,2816.26,2777.69,5211970.0,-0.007628712344321044
2002-12-12,2796.69,2806.01,2836.37,2792.18,5055220.0,0.0032930491990846807
2002-12-13,2791.08,2830.63,2837.75,2775.84,5655910.0,0.008774024326356602
2002-12-16,2833.3,2859.53,2859.78,2822.83,7278870.0,0.010209741294340869
2002-12-17,2862.11,2878.57,2883.02,2856.23,7587270.0,0.006658436875990097
2002-12-18,2878.56,2868.42,2903.97,2864.85,8698500.0,-0.003526056340474642
2002-12-19,2865.74,2865.94,2873.1,2842.75,5950950.0,-0.0008645874732431157
2002-12-20,2868.56,2905.0,2909.91,2860.39,11037000.0,0.01362903619754773
2002-12-23,2912.7,2907.33,2938.85,2900.81,14219500.0,0.000802065404475018
2002-12-24,2907.68,2905.86,2910.66,2885.53,7087660.0,-0.0005056185572328561
2002-12-25,2907.52,2887.14,2914.61,2884.11,8285410.0,-0.006442154818195045
2002-12-26,2882.67,2809.94,2883.47,2806.99,10548290.0,-0.026739264462409103
2002-12-27,2797.83,2802.96,2817.61,2768.39,8883370.0,-0.0024840388050990482
2002-12-30,2797.54,2771.02,2798.31,2744.65,9589080.0,-0.011395096612152886
2002-12-31,2764.1,2759.3,2778.57,2738.55,7847000.0,-0.004229489502060541
2003-01-02,2743.21,2689.49,2743.3,2682.27,5516120.0,-0.0252998949008808
2003-01-03,2681.64,2687.72,2700.39,2673.25,4209700.0,-0.0006581173382314053
2003-01-06,2684.83,2722.28,2723.74,2675.04,4738220.0,0.012858482282380757
2003-01-07,2723.18,2718.33,2740.67,2705.6,4309160.0,-0.001450989611649159
2003-01-08,2716.67,2790.04,2790.26,2714.88,6484060.0,0.026380167235030345
2003-01-09,2794.28,2835.49,2848.75,2773.44,13381700.0,0.01629008903098157
2003-01-10,2834.3,2811.19,2861.0,2809.84,13277500.0,-0.008569947345961273
2003-01-13,2803.03,2821.6,2830.94,2798.99,7110680.0,0.0037030581355226274
2003-01-14,2823.12,2999.4,3027.75,2823.12,38734390.0,0.06301389282676502
2003-01-15,3004.92,2963.99,3027.81,2945.58,24230300.0,-0.011805694472227882
2003-01-16,2964.89,3010.61,3014.15,2957.4,15623200.0,0.0157287980053915
2003-01-17,3014.59,2998.67,3027.46,2985.37,13255400.0,-0.003965973673109454
2003-01-20,2998.65,3012.07,3012.79,2963.53,10293290.0,0.004468647767176812
2003-01-21,3018.57,2953.51,3029.03,2953.42,12497900.0,-0.019441779241518273
2003-01-22,2948.03,2961.89,2969.24,2941.45,8638410.0,0.002837302057551745
2003-01-23,2960.06,2942.16,2984.98,2941.46,7345140.0,-0.0066612872186340545
2003-01-24,2939.76,2992.11,2998.29,2935.0,9839910.0,0.016977322783261372
2003-01-27,2994.85,3031.45,3037.73,2994.19,21539800.0,0.01314791234279478
2003-01-28,3032.21,3044.03,3045.76,3021.27,12796500.0,0.004149829289614007
2003-01-29,3045.01,3051.22,3069.12,3042.82,12361090.0,0.0023620003745034052
2003-02-10,3048.81,3010.63,3048.81,3006.5,8251240.0,-0.013302875571082942
2003-02-11,3005.43,3031.31,3032.13,3001.05,5325750.0,0.006868994197227768
2003-02-12,3031.65,3063.02,3064.29,3020.39,7714000.0,0.0104608238682286
2003-02-13,3066.63,3043.89,3082.36,3040.77,12719500.0,-0.006245470156904007
2003-02-14,3041.83,3046.6,3055.12,3033.56,7214850.0,0.0008903081254578965
2003-02-17,3048.75,3021.91,3053.67,3011.11,7948390.0,-0.008104116063808856
2003-02-18,3019.39,3018.7,3027.33,3006.49,7111660.0,-0.0010622420919220086
2003-02-19,3018.61,3046.27,3046.3,3002.32,6724310.0,0.009133070527048122
2003-02-20,3045.95,3041.89,3056.12,3038.56,7035680.0,-0.0014378239617631099
2003-02-21,3040.87,2990.01,3040.87,2984.67,9869040.0,-0.017055186084966797
2003-02-24,2985.86,2990.08,3006.02,2980.86,6667930.0,2.3411292938722267e-05
2003-02-25,2993.46,3043.17,3044.11,2993.46,11393090.0,0.017755377782534297
2003-02-26,3043.84,3044.07,3047.33,3031.35,7047180.0,0.0002957442403809485
2003-02-27,3044.96,3051.92,3061.27,3044.12,7737000.0,0.0025787843249333647
2003-02-28,3052.35,3057.24,3063.02,3040.13,8417040.0,0.0017431649584522884
2003-03-03,3058.27,3073.44,3073.89,3051.23,10434790.0,0.005298897044393071
2003-03-04,3077.73,3076.99,3087.42,3065.82,9005370.0,0.0011550575251183452
2003-03-05,3078.44,3070.35,3079.93,3052.57,8265510.0,-0.0021579530645208056
2003-03-06,3071.2,3030.95,3071.2,3027.49,8752670.0,-0.01283241324278994
2003-03-07,3028.81,3027.74,3040.16,3019.7,7397700.0,-0.0010590738877249827
2003-03-10,3022.05,2974.37,3026.13,2972.76,9601800.0,-0.017627008924148008
2003-03-11,2971.14,2971.49,2984.64,2960.93,6478520.0,-0.0009682722727838533
2003-03-12,2971.09,2995.96,2996.32,2957.2,8099410.0,0.008234925912589394
2003-03-13,2996.05,2978.23,2999.46,2975.89,6760250.0,-0.005917969532303508
2003-03-14,2976.87,2994.67,2998.09,2970.6,8850250.0,0.005520057215191592
2003-03-17,2992.73,2989.83,2992.88,2961.93,9887250.0,-0.0016162047905111901
2003-03-18,2989.24,2979.29,3009.57,2978.01,10501400.0,-0.0035252840462501093
2003-03-19,2977.0,3000.76,3012.63,2962.03,9671540.0,0.007206414951213293
2003-03-20,2998.92,2976.1,3007.21,2970.33,9532800.0,-0.008217918127407825
2003-03-21,2973.17,3005.59,3006.38,2971.26,7514930.0,0.009908941231813528
2003-03-24,3007.48,3012.27,3014.48,2999.15,6469560.0,0.0022225253610771377
2003-03-25,3012.14,2979.09,3014.68,2977.48,7243830.0,-0.011014948859165955
2003-03-26,2975.53,2968.82,2986.54,2958.04,6960370.0,-0.0034473614425881666
2003-03-27,2966.38,3046.34,3056.73,2954.08,13875790.0,0.02611138432104337
2003-03-28,3045.21,3048.61,3069.36,3030.35,17526400.0,0.0007451564828613949
2003-03-31,3048.6,3101.86,3102.09,3047.43,19393190.0,0.017466976753340045
2003-04-01,3105.28,3118.91,3129.37,3092.63,17987000.0,0.005496701978812624
2003-04-02,3116.89,3127.66,3137.8,3110.98,13048500.0,0.002805467294663841
2003-04-03,3128.34,3118.46,3132.59,3111.88,10780700.0,-0.002941496198435833
2003-04-04,3115.79,3154.84,3159.88,3113.42,17304800.0,0.011666014635429059
2003-04-07,3158.43,3140.14,3184.1,3132.86,18084500.0,-0.004659507296725119
2003-04-08,3137.29,3146.3,3159.4,3136.89,27359300.0,0.0019616959753387783
2003-04-09,3144.01,3219.08,3220.88,3136.67,35763800.0,0.023131932746400453
2003-04-10,3226.87,3259.95,3273.16,3226.87,48188100.0,0.012696174062154371
2003-04-11,3258.93,3310.49,3330.45,3250.52,42613600.0,0.015503305265418169
2003-04-14,3316.02,3382.82,3395.28,3316.02,57913300.0,0.02184872934218209
2003-04-15,3389.35,3433.39,3436.71,3359.78,41023690.0,0.014949066163733132
2003-04-16,3447.93,3445.87,3525.87,3413.74,65652390.0,0.003634891462956442
2003-04-17,3446.29,3453.32,3481.01,3400.46,38992690.0,0.0021620084332839816
2003-04-18,3458.3,3408.35,3470.76,3392.66,29069400.0,-0.01302225105116243
2003-04-21,3410.26,3325.72,3410.26,3282.67,27329400.0,-0.02424340223275195
2003-04-22,3328.02,3334.18,3355.25,3315.45,15223500.0,0.002543810062182035
2003-04-23,3332.93,3285.12,3350.06,3275.33,24573690.0,-0.014714262577305346
2003-04-24,3272.49,3188.61,3272.49,3147.94,30429590.0,-0.02937792226767965
2003-04-25,3175.72,3150.96,3204.53,3136.77,18173190.0,-0.011807652864414302
2003-04-28,3129.25,3293.92,3297.6,3097.49,27836690.0,0.045370299845126576
2003-04-29,3289.76,3238.81,3295.06,3231.57,31099090.0,-0.01673082527808815
2003-04-30,3231.56,3260.75,3302.24,3231.56,23801690.0,0.006774092953893578
2003-05-12,3264.94,3307.01,3313.53,3247.97,18412590.0,0.014186920187073591
2003-05-13,3330.29,3221.28,3341.14,3217.54,32092400.0,-0.025923719613790103
2003-05-14,3207.57,3292.96,3294.48,3191.43,19795090.0,0.022252024040133062
2003-05-15,3296.76,3393.58,3394.72,3276.09,32064000.0,0.030556095427821745
2003-05-16,3399.03,3414.13,3433.02,3393.1,27317090.0,0.006055551953983752
2003-05-19,3422.16,3434.63,3452.44,3399.38,29973300.0,0.00600445794389786
2003-05-20,3427.84,3395.35,3427.84,3375.15,21938900.0,-0.011436457493238048
2003-05-21,3393.63,3394.14,3440.02,3385.42,20912300.0,-0.0003563697409692775
2003-05-22,3392.6,3431.02,3432.3,3362.93,20181090.0,0.010865786325843988
2003-05-23,3439.59,3478.26,3519.72,3437.73,38563890.0,0.013768500329348192
2003-05-26,3482.83,3503.37,3517.17,3481.77,27764400.0,0.007219126804781606
