date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
2004-04-09,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-12,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-13,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-14,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-15,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-16,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-19,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-20,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-21,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-22,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-23,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-26,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-27,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-28,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-29,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-04-30,100.5739,100.5227,99.7078,100.94,100.5506,100.0287,101.2173,100.0063,98.75,99.8854,101.3226,99.6075,102.7696,101.8308,101.2902,111.9093,112.4906,91.6345,113.999,109.2712,104.6128,86.9577,0.3215,101.3606,100.2951,102.06,100.9795,101.3548,100.993,100.3839,100.1925,100.4456,100.7865,100.9017,101.4929,100.6281,99.971,100.9195,100.6168,100.8622,100.7558,99.2669,100.6588,99.6164,100.7997,100.6149
2004-05-10,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-11,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-12,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
2004-05-13,100.5748,100.5101,99.7011,100.8605,100.8556,99.3164,101.0447,99.9347,98.7249,99.8986,101.0504,99.7204,103.2245,102.2208,102.0263,111.7093,111.8907,92.6404,114.8018,108.7537,104.7187,87.3067,0.4001,101.3778,100.3857,102.0077,101.0918,101.3983,101.1162,100.4529,100.2637,100.5061,100.9742,100.7674,101.5593,100.6101,99.9932,100.8689,100.6475,100.5699,100.7198,99.3474,100.6694,99.6172,100.7553,100.6167
